filename,labware_class,labware_subclass,manufacturer,total_positions,rows,columns,orientation,well_max_volume_ul,well_depth_mm,well_bottom_shape,well_top_shape,well_dx_mm,well_dy_mm,well_spacing_dx_mm,well_spacing_dy_mm,rack_dx_mm,rack_dy_mm,rack_dz_mm,stack_height_mm,connected_container,clld_capable,container_file,display_name,description,category_ids,category_names,vendor_folder,relative_path,data_type,read_only,file_type
Dyn_96_Fl.rck,plate,standard,Dynex,96,8,12,landscape,374.1,10.8,flat,oval,6.8,6.48,9.0,9.0,127.0,86.0,14.8,12.6,No,Yes,dynex\\Dyn_96_Fl.ctr,Dyn_96_Fl.rck,,1003;1016,96 positions plates;Dynex,DYNEX,DYNEX/Dyn_96_Fl.rck,1,Yes,rck
Dyn_96_Fl_L.rck,plate,standard,Dynex,96,8,12,landscape,374.1,10.8,flat,oval,6.8,6.48,9.0,9.0,127.0,86.0,14.8,12.6,No,Yes,dynex\\Dyn_96_Fl.ctr,Dyn_96_Fl_L.rck,,,,DYNEX,DYNEX/Dyn_96_Fl_L.rck,1,Yes,rck
Dyn_96_Fl_P.rck,plate,standard,Dynex,96,12,8,portrait,374.1,10.8,flat,oval,6.8,6.48,9.0,9.0,86.0,127.0,14.8,12.6,No,Yes,dynex\\Dyn_96_Fl.ctr,Dyn_96_Fl_P.rck,,,,DYNEX,DYNEX/Dyn_96_Fl_P.rck,0,Yes,rck
Fal_96_Rd.rck,plate,standard,Falcon,96,8,12,landscape,317.8,10.5,round,oval,6.8,6.3,9.0,9.0,127.0,86.0,14.3,0.0,No,Yes,falcon\\Fal_96_Rd.ctr,Fal_96_Rd.rck,,1003,96 positions plates,FALCON,FALCON/Fal_96_Rd.rck,1,Yes,rck
Fal_96_Rd_L.rck,plate,standard,Falcon,96,8,12,landscape,317.8,10.5,round,oval,6.8,6.3,9.0,9.0,127.0,86.0,14.3,0.0,No,Yes,falcon\\Fal_96_Rd.ctr,Fal_96_Rd_L.rck,,,,FALCON,FALCON/Fal_96_Rd_L.rck,1,Yes,rck
Fal_96_Rd_P.rck,plate,standard,Falcon,96,12,8,portrait,317.8,10.5,round,oval,6.8,6.3,9.0,9.0,86.0,127.0,14.3,0.0,No,Yes,falcon\\Fal_96_Rd.ctr,Fal_96_Rd_P.rck,,,,FALCON,FALCON/Fal_96_Rd_P.rck,0,Yes,rck
Gre_1536_Sq.rck,plate,standard,Greiner,1536,32,48,landscape,11.7,5.0,flat,square,1.53,1.53,2.25,2.25,127.0,86.0,10.4,8.9,No,No,greiner\\gre_1536_sq.ctr,Gre_1536_Sq.rck,,1005;1025,1536 positions plates;Greiner,GREINER,GREINER/Gre_1536_Sq.rck,1,Yes,rck
Gre_1536_Sq_L.rck,plate,standard,Greiner,1536,32,48,landscape,11.7,5.0,flat,square,1.53,1.53,2.25,2.25,127.0,86.0,10.4,8.9,No,No,greiner\\gre_1536_sq.ctr,Gre_1536_Sq_L.rck,,,,GREINER,GREINER/Gre_1536_Sq_L.rck,1,Yes,rck
Gre_1536_Sq_P.rck,plate,standard,Greiner,1536,48,32,portrait,11.7,5.0,flat,square,1.53,1.53,2.25,2.25,86.0,127.0,10.4,8.9,No,No,greiner\\gre_1536_sq.ctr,Gre_1536_Sq_P.rck,,,,GREINER,GREINER/Gre_1536_Sq_P.rck,0,Yes,rck
Gre_384_Sq.rck,plate,standard,Greiner,384,16,24,landscape,163.8,11.6499996185,flat,square,3.75,3.75,4.5,4.5,127.0,86.0,14.5,12.8,No,Yes,Greiner\\Gre_384_Sq.ctr,Gre_384_Sq.rck,,1004;1025,384 positions plates;Greiner,GREINER,GREINER/Gre_384_Sq.rck,1,Yes,rck
384_PCR_L.rck,plate,pcr,Hamilton,384,16,24,landscape,27.1,9.5,v-bottom,conical,3.3,3.3,4.5,4.5,127.0,86.0,16.0,0.0,No,Yes,ml_star\\reagent\\384_pcr.ctr,384_PCR_L.rck,,,,ML_STAR,ML_STAR/Reagent/384_PCR_L.rck,1,Yes,rck
4mlTF_P.rck,plate,filter,Hamilton,24,6,4,portrait,8561.4,118.0,flat,round,13.85,13.85,18.0,18.0,82.6,122.4,7.0,0.0,No,No,ML_STAR\\5mlt.ctr,4ml Tip with Filter,Tip Rack 24x 4ml Tip with Filter portrait oriented,,,ML_STAR,ML_STAR/4mlTF_P.rck,2,Yes,rck
5mlT_P.rck,plate,deep_well,Hamilton,24,6,4,portrait,8561.4,118.0,flat,round,13.85,13.85,18.0,18.0,82.6,122.4,7.0,0.0,No,No,ML_STAR\\5mlt.ctr,5ml Tip,Tip Rack 24x 5ml Tip portrait oriented,,,ML_STAR,ML_STAR/5mlT_P.rck,2,Yes,rck
96_PCR_L.rck,plate,pcr,Hamilton,96,8,12,landscape,289.7,20.5,v-bottom,oval,6.0,5.0,9.0,9.0,127.0,86.0,23.5,0.0,No,Yes,ml_star\\Reagent\\96_pcr.ctr,96_PCR_L.rck,,,,ML_STAR,ML_STAR/Reagent/96_PCR_L.rck,1,Yes,rck
Cos_96_Fl.rck,plate,standard,Hamilton,96,8,12,landscape,365.8,10.67,flat,oval,6.86,6.35,9.0,9.0,127.0,86.0,14.24,13.0,No,Yes,Nimbus\\Verification\\Cos_96_Fl.ctr,Costar 96 FL.rck,Costar plate with 96 flat bottom wells,1003;1015,96 positions plates;Corning-Costar,Nimbus,Nimbus/Toolbox/Cos_96_Fl.rck,1,Yes,rck
HAM_DW_12_ml.rck,plate,deep_well,Hamilton,96,8,12,landscape,1256.8,36.8,round,oval,6.9,6.4,9.0,9.0,127.0,86.0,41.0,39.0,No,No,Nimbus\\Verification\\ham_12_ml.ctr,Hamilton 1.2 ml deep well plate,Hamilton 1.2 ml deep well plate  with 96 wells (P/N: 235655),,,Nimbus,Nimbus/Toolbox/HAM_DW_12_ml.rck,1,Yes,rck
HDPositionalCheckPlate.rck,plate,custom_layout,Hamilton,32,0,0,n/a,75.3,6.3,flat,round,3.9,3.9,9.0,9.0,127.0,86.0,14.0,0.0,No,Yes,C:\\tfs\\Nimbus\\Common\\Development\\Labware\\Nimbus\\Toolbox\\HDPositionalCheckPlateWell.ctr,Positional Check Plate,Plate used for positional accuracy test,,,Nimbus,Nimbus/Toolbox/HDPositionalCheckPlate.rck,3,Yes,rck
HDPositionalCheckPlate2.rck,plate,custom_layout,Hamilton,48,0,0,n/a,75.3,6.3,flat,round,3.9,3.9,9.0,9.0,127.0,86.0,14.0,0.0,No,Yes,Nimbus\\Toolbox\\HDPositionalCheckPlateWell.ctr,Positional Check Plate,Plate used for positional accuracy test,,,Nimbus,Nimbus/Toolbox/HDPositionalCheckPlate2.rck,3,Yes,rck
HTF_P.rck,plate,filter,Hamilton,96,12,8,portrait,1509.0,95.0,flat,round,6.8,6.8,9.0,9.0,82.6,122.4,20.0,0.0,No,No,ML_STAR\\ht.ctr,1000ul High Volume Tip with filter,Rack with 96 1000ul High Volume Tip with filter (portrait),,,ML_STAR,ML_STAR/HTF_P.rck,2,Yes,rck
Ham_96_DW.rck,plate,deep_well,Hamilton,96,8,12,landscape,1412.2,37.4,round,round,7.0,7.0,9.0,9.0,127.0,86.0,41.0,39.0,No,Yes,hamilton\\Ham_96_DW.ctr,Ham_96_DW.rck,,1003;1006;1019,96 positions plates;Deep well plates;Hamilton,HAMILTON,HAMILTON/Ham_96_DW.rck,1,Yes,rck
Ham_96_DW_L.rck,plate,deep_well,Hamilton,96,8,12,landscape,1412.2,37.4,round,round,7.0,7.0,9.0,9.0,127.0,86.0,41.0,39.0,No,Yes,hamilton\\Ham_96_DW.ctr,Ham_96_DW_L.rck,,,,HAMILTON,HAMILTON/Ham_96_DW_L.rck,1,Yes,rck
Ham_96_DW_P.rck,plate,deep_well,Hamilton,96,12,8,portrait,1412.2,37.4,round,round,7.0,7.0,9.0,9.0,86.0,127.0,41.0,39.0,No,Yes,hamilton\\Ham_96_DW.ctr,Ham_96_DW_P.rck,,,,HAMILTON,HAMILTON/Ham_96_DW_P.rck,0,Yes,rck
Ham_96_FluorMeasure_Black.rck,plate,standard,Hamilton,96,8,12,landscape,392.5,10.9,flat,oval,6.96,6.58,9.0,9.0,127.0,86.0,14.4,12.8,No,Yes,HAMILTON\\Ham_96_FluorMeasure_Black.ctr,Hamilton 96 FluorEye black,"Micro Plate 96 x 392uL Well for fluorescence measurements, black, F-bottom, Barcode, PN10165328",1003;1019,96 positions plates;Hamilton,HAMILTON,HAMILTON/Ham_96_FluorMeasure_Black.rck,1,Yes,rck
Ham_MTP_384x80uL.rck,plate,standard,Hamilton,384,16,24,landscape,84.9,7.9,flat,round,3.7,3.7,4.5,4.5,127.0,86.0,10.0,9.5,No,Yes,HAMILTON\\Ham_MTP_384x80uL.ctr,Hamilton 384 x 80uL Microtiter Plate,Microtiter Plate 384 x 80uL Cliniplate Thermo 95040000 Polystyrene Hamilton PN: 281935,1004;1019,384 positions plates;Hamilton,HAMILTON,HAMILTON/Ham_MTP_384x80uL.rck,1,Yes,rck
HighNeedle_L.rck,plate,deep_well,Hamilton,96,8,12,landscape,1673.5,95.1,flat,round,6.8,6.8,9.0,9.0,122.4,82.6,20.0,0.0,No,No,ml_star\\highneedle.ctr,HighNeedle_L.rck,,,,ML_STAR,ML_STAR/HighNeedle_L.rck,2,Yes,rck
LTF_P.rck,plate,filter,Hamilton,96,12,8,portrait,521.8,30.0,flat,round,6.8,6.8,9.0,9.0,82.6,122.4,20.0,0.0,No,No,ML_STAR\\lt.ctr,10ul Low Volume Tip with filter,Rack with 96 10ul Low Volume Tip with filter (portrait),,,ML_STAR,ML_STAR/LTF_P.rck,2,Yes,rck
LT_P.rck,plate,deep_well,Hamilton,96,12,8,portrait,521.8,30.0,flat,round,6.8,6.8,9.0,9.0,82.6,122.4,20.0,13.5,No,No,ML_STAR\\lt.ctr,10ul Low Volume Tip,Rack with 96 10ul Low Volume Tip (portrait),,,ML_STAR,ML_STAR/LT_P.rck,2,Yes,rck
LowNeedle_L.rck,plate,standard,Hamilton,96,8,12,landscape,400.5,74.1,flat,round,6.8,6.8,9.0,9.0,122.4,82.6,20.0,0.0,No,No,ml_star\\lowneedle.ctr,LowNeedle_L.rck,,,,ML_STAR,ML_STAR/LowNeedle_L.rck,2,Yes,rck
Needle1000ul_L.rck,plate,deep_well,Hamilton,96,8,12,landscape,1790.3,90.0,flat,round,6.8,6.8,9.0,9.0,122.4,82.6,20.0,0.0,No,No,ml_star\\needle1000ul.ctr,Needle1000ul_L.rck,,,,ML_STAR,ML_STAR/Needle1000ul_L.rck,2,Yes,rck
Needle300ul_L.rck,plate,deep_well,Hamilton,96,8,12,landscape,1008.9,81.0,flat,round,6.8,6.8,9.0,9.0,122.4,82.6,20.0,0.0,No,No,ml_star\\needle300ul.ctr,Needle300ul_L.rck,,,,ML_STAR,ML_STAR/Needle300ul_L.rck,2,Yes,rck
PCR_L.rck,plate,pcr,Hamilton,96,8,12,landscape,175.9,20.0,v-bottom,round,4.0,4.0,9.0,9.0,125.0,84.0,9.0,0.0,No,No,ml_star\\pcr.ctr,PCR_L.rck,,,,ML_STAR,ML_STAR/PCR_L.rck,-1,Yes,rck
Rack - CPAC 2mL.rck,plate,deep_well,Hamilton,24,4,6,n/a,2326.5,43.0,v-bottom,round,8.5,8.5,18.0,18.0,127.0,86.0,40.0,0.0,No,Yes,ML_STAR\\MFXCreation\\Container - Eppendorf Tube 2ml.ctr,Rack - CPAC 2mL.rck,,,,ML_STAR,ML_STAR/MFXCreation/Rack - CPAC 2mL.rck,2,Yes,rck
Rack - Matrix 1.4mL DH (Portrait).rck,plate,deep_well,Hamilton,96,12,8,portrait,2407.6,43.0,round,round,8.7,8.7,9.0,9.0,86.0,127.0,58.0,58.0,No,Yes,ML_STAR\\MFXCreation\\Container - Matrix 1.4mL DH.ctr,Rack - Matrix 1.4mL DH (Portrait).rck,Multiflex module for a 96 2D barcoded Matrix storage tubes rack with 1.4ml tubes in downholder module SN 188313 (Portrait),1003;1006,96 positions plates;Deep well plates,ML_STAR,ML_STAR/MFXCreation/Rack - Matrix 1.4mL DH (Portrait).rck,0,Yes,rck
Rack - Matrix 1.4mL DH.rck,plate,deep_well,Hamilton,96,8,12,landscape,2407.6,43.0,round,round,8.7,8.7,9.0,9.0,127.0,86.0,58.0,58.0,No,Yes,ML_STAR\\MFXCreation\\Container - Matrix 1.4mL DH.ctr,Rack - Matrix 1.4mL DH.rck,Multiflex module for a 96 2D barcoded Matrix storage tubes rack with 1.4ml tubes in downholder module SN 188313,1003;1006,96 positions plates;Deep well plates,ML_STAR,ML_STAR/MFXCreation/Rack - Matrix 1.4mL DH.rck,1,Yes,rck
STF_P.rck,plate,filter,Hamilton,96,12,8,portrait,959.2,60.0,flat,round,6.8,6.8,9.0,9.0,82.6,122.4,20.0,0.0,No,No,ML_STAR\\st.ctr,300ul Standard Volume Tip with filter300ul Standard Volume Tip with filter,Rack with 96 300ul Standard Volume Tip with filter (portrait),,,ML_STAR,ML_STAR/STF_P.rck,2,Yes,rck
ST_P.rck,plate,deep_well,Hamilton,96,12,8,portrait,959.2,60.0,flat,round,6.8,6.8,9.0,9.0,82.6,122.4,20.0,15.5,No,No,ML_STAR\\st.ctr,300ul Standard Volume Tip,Rack with 96 300ul Standard Volume Tip (portrait),,,ML_STAR,ML_STAR/ST_P.rck,2,Yes,rck
StandardNeedle_L.rck,plate,deep_well,Hamilton,96,8,12,landscape,858.9,81.6,flat,round,6.8,6.8,9.0,9.0,122.4,82.6,20.0,0.0,No,No,ml_star\\standardneedle.ctr,StandardNeedle_L.rck,,,,ML_STAR,ML_STAR/StandardNeedle_L.rck,2,Yes,rck
Tadm96HeadTightnessTool.rck,plate,deep_well,Hamilton,96,8,12,n/a,1198.8,31.6,flat,round,7.0,6.5,9.0,9.0,127.0,86.0,35.0,35.0,No,No,ml_star\\96corehead\\tadm96headtightnesstool.ctr,CO-RE 96 TADM Head tightness,Tool to check the tighness of CO-RE 96 TADM Head,40005,Maintenance,ML_STAR,ML_STAR/96CoReHead/Tadm96HeadTightnessTool.rck,2,Yes,rck
phenomenex_96_filter.rck,plate,filter,Hamilton,96,8,12,n/a,2220.7,50.0,flat,square,7.0,7.0,9.0,9.0,127.0,86.0,45.0,0.0,No,No,C:\\dev\\Nimbus\\Labware\\Nimbus\\NVS\\phenomenex_sq.ctr,phenomenex - SPE Filter Tall,phenomenex tall 96 filter plate,,,Nimbus,Nimbus/NVS/phenomenex_96_filter.rck,2,Yes,rck
IST_96_C18_10mg.rck,plate,deep_well,IST,96,12,8,portrait,1447.5,30.0,flat,square,7.4,7.4,9.0,9.0,86.0,127.0,45.0,0.0,No,No,ist\\ist_96_c18_10mg.ctr,IST_96_C18_10mg.rck,,1003,96 positions plates,IST,IST/IST_96_C18_10mg.rck,0,Yes,rck
IST_96_C18_10mg_P.rck,plate,deep_well,IST,96,12,8,portrait,1447.5,30.0,flat,square,7.4,7.4,9.0,9.0,86.0,127.0,45.0,0.0,No,No,ist\\ist_96_c18_10mg.ctr,IST_96_C18_10mg_P.rck,,,,IST,IST/IST_96_C18_10mg_P.rck,0,Yes,rck
Kda_96_Rd.rck,plate,standard,Kayco Dallas,96,8,12,landscape,365.5,10.0,round,round,7.0,7.0,9.0,9.0,127.0,86.0,14.0,0.0,No,Yes,kayco_dallas\\Kda_96_Rd.ctr,Kda_96_Rd.rck,,1003,96 positions plates,KAYCO_DALLAS,KAYCO_DALLAS/Kda_96_Rd.rck,1,Yes,rck
Kda_96_Rd_L.rck,plate,standard,Kayco Dallas,96,8,12,landscape,365.5,10.0,round,round,7.0,7.0,9.0,9.0,127.0,86.0,14.0,0.0,No,Yes,kayco_dallas\\Kda_96_Rd.ctr,Kda_96_Rd_L.rck,,,,KAYCO_DALLAS,KAYCO_DALLAS/Kda_96_Rd_L.rck,1,Yes,rck
Kda_96_Rd_P.rck,plate,standard,Kayco Dallas,96,12,8,portrait,365.5,10.0,round,round,7.0,7.0,9.0,9.0,86.0,127.0,14.0,0.0,No,Yes,kayco_dallas\\Kda_96_Rd.ctr,Kda_96_Rd_P.rck,,,,KAYCO_DALLAS,KAYCO_DALLAS/Kda_96_Rd_P.rck,0,Yes,rck
Lab_96_Fl.rck,plate,standard,Labsystems,96,8,12,landscape,483.9,12.75,flat,oval,7.2,6.7,9.0,9.0,127.0,86.0,16.9,0.0,No,Yes,labsystems\\Lab_96_Fl.ctr,Lab_96_Fl.rck,,1003,96 positions plates,LABSYSTEMS,LABSYSTEMS/Lab_96_Fl.rck,1,Yes,rck
Lab_96_Fl_L.rck,plate,standard,Labsystems,96,8,12,landscape,483.9,12.75,flat,oval,7.2,6.7,9.0,9.0,127.0,86.0,16.9,0.0,No,Yes,labsystems\\Lab_96_Fl.ctr,Lab_96_Fl_L.rck,,,,LABSYSTEMS,LABSYSTEMS/Lab_96_Fl_L.rck,1,Yes,rck
Lab_96_Fl_P.rck,plate,standard,Labsystems,96,12,8,portrait,483.9,12.75,flat,oval,7.2,6.7,9.0,9.0,86.0,127.0,16.9,0.0,No,Yes,labsystems\\Lab_96_Fl.ctr,Lab_96_Fl_P.rck,,,,LABSYSTEMS,LABSYSTEMS/Lab_96_Fl_P.rck,0,Yes,rck
Limbro_24_Large.rck,plate,deep_well,Limbro,24,6,4,n/a,2950.7,13.0,flat,round,7.2,6.7,22.4,22.4,109.0,152.0,25.0,0.0,No,No,limbro\\limbro_24_large.ctr,Limbro_24_Large.rck,,1001,24 positions plates,Limbro,Limbro/Limbro_24_Large.rck,2,Yes,rck
Limbro_24_Small.rck,plate,standard,Limbro,24,6,4,n/a,14.1,1.5,round,sphere,5.0,5.0,22.4,22.4,109.0,152.0,25.0,0.0,No,No,limbro\\limbro_24_small.ctr,Limbro_24_Small.rck,,1001,24 positions plates,Limbro,Limbro/Limbro_24_Small.rck,2,Yes,rck
Limbro_48_Large.rck,plate,deep_well,Limbro,48,12,4,n/a,1470.3,13.0,flat,round,7.2,6.7,22.4,11.2,109.0,152.0,25.0,0.0,No,No,limbro\\limbro_48_large.ctr,Limbro_48_Large.rck,,1002,48 positions plates,Limbro,Limbro/Limbro_48_Large.rck,2,Yes,rck
Limbro_96_Large.rck,plate,deep_well,Limbro,96,12,8,n/a,1470.3,13.0,flat,round,7.2,6.7,11.2,11.2,109.0,152.0,25.0,0.0,No,No,limbro\\limbro_96_large.ctr,Limbro_96_Large.rck,,1003,96 positions plates,Limbro,Limbro/Limbro_96_Large.rck,2,Yes,rck
MJR_384_TC.rck,plate,standard,MJ Research,384,16,24,landscape,38.9,8.6,flat,oval,3.2,1.5,4.5,4.5,127.0,86.0,11.0,7.5,No,Yes,MJ_Research\\MJR_384_TC.ctr,MJR_384_TC.rck,,1004;1021,384 positions plates;Temperatured plates,MJ_RESEARCH,MJ_RESEARCH/MJR_384_TC.rck,1,Yes,rck
MJR_384_TC_L.rck,plate,standard,MJ Research,384,16,24,landscape,38.9,8.6,flat,oval,3.2,1.5,4.5,4.5,127.0,86.0,11.0,7.5,No,Yes,MJ_Research\\MJR_384_TC.ctr,MJR_384_TC_L.rck,,,,MJ_RESEARCH,MJ_RESEARCH/MJR_384_TC_L.rck,1,Yes,rck
MJR_384_TC_P.rck,plate,standard,MJ Research,384,24,16,portrait,38.9,8.6,flat,oval,3.2,1.5,4.5,4.5,86.0,127.0,11.0,7.5,No,Yes,MJ_Research\\MJR_384_TC.ctr,MJR_384_TC_P.rck,,,,MJ_RESEARCH,MJ_RESEARCH/MJR_384_TC_P.rck,0,Yes,rck
MJR_96_TC.rck,plate,standard,MJ Research,96,8,12,landscape,220.3,14.7,flat,oval,6.0,2.5,9.0,9.0,127.0,86.0,20.5,0.0,No,No,MJ_Research\\MJR_96_TC.ctr,MJR_96_TC.rck,,1003;1021,96 positions plates;Temperatured plates,MJ_RESEARCH,MJ_RESEARCH/MJR_96_TC.rck,1,Yes,rck
MJR_96_TC_L.rck,plate,standard,MJ Research,96,8,12,landscape,220.3,14.7,flat,oval,6.0,2.5,9.0,9.0,127.0,86.0,20.5,0.0,No,No,MJ_Research\\MJR_96_TC.ctr,MJR_96_TC_L.rck,,,,MJ_RESEARCH,MJ_RESEARCH/MJR_96_TC_L.rck,1,Yes,rck
MJR_96_TC_P.rck,plate,standard,MJ Research,96,12,8,portrait,220.3,14.7,flat,oval,6.0,2.5,9.0,9.0,86.0,127.0,20.5,0.0,No,No,MJ_Research\\MJR_96_TC.ctr,MJR_96_TC_P.rck,,,,MJ_RESEARCH,MJ_RESEARCH/MJR_96_TC_P.rck,0,Yes,rck
MNElutionPlate.rck,plate,standard,Macherey-Nagel,96,8,12,n/a,318.9,10.0,round,unknown,7.0,6.5,9.0,9.0,127.0,86.0,14.5,0.0,No,No,macherey-nagel\\mnelutionplate.ctr,MNElutionPlate.rck,,1003;1020,96 positions plates;Macherey-Nagel,MACHEREY-NAGEL,MACHEREY-NAGEL/MNElutionPlate.rck,2,Yes,rck
MNFilterPlate.rck,plate,filter,Macherey-Nagel,96,8,12,n/a,1306.9,26.0,flat,round,8.0,8.0,9.0,9.0,127.0,86.0,20.0,30.5,No,No,macherey-nagel\\mnfilterplate.ctr,MNFilterPlate.rck,,1003;1009;1020,96 positions plates;Filter plates;Macherey-Nagel,MACHEREY-NAGEL,MACHEREY-NAGEL/MNFilterPlate.rck,2,Yes,rck
MNWashPlate.rck,plate,standard,Macherey-Nagel,96,8,12,landscape,340.1,9.5,flat,oval,7.0,6.5,9.0,9.0,127.0,86.0,14.5,10.5,No,No,macherey-nagel\\mnwashplate.ctr,MNWashPlate.rck,,1003;1020,96 positions plates;Macherey-Nagel,MACHEREY-NAGEL,MACHEREY-NAGEL/MNWashPlate.rck,1,Yes,rck
MNa_96_Filter.rck,plate,filter,Macherey-Nagel,96,8,12,landscape,1306.9,26.0,flat,round,8.0,8.0,9.0,9.0,127.0,86.0,20.0,0.0,No,No,macherey-nagel\\MNa_96_filter.ctr,MNa_96_Filter.rck,,1003;1020,96 positions plates;Macherey-Nagel,MACHEREY-NAGEL,MACHEREY-NAGEL/MNa_96_Filter.rck,1,Yes,rck
MNa_96_Filter_L.rck,plate,filter,Macherey-Nagel,96,8,12,landscape,1306.9,26.0,flat,round,8.0,8.0,9.0,9.0,127.0,86.0,20.0,0.0,No,No,macherey-nagel\\MNa_96_filter.ctr,MNa_96_Filter_L.rck,,,,MACHEREY-NAGEL,MACHEREY-NAGEL/MNa_96_Filter_L.rck,1,Yes,rck
NucleoFast.rck,plate,standard,Macherey-Nagel,96,8,12,landscape,443.1,12.2,flat,round,6.8,6.8,9.0,9.0,127.0,86.0,14.5,12.2,No,No,macherey-nagel\\nucleofast.ctr,NucleoFast.rck,,1003;1020,96 positions plates;Macherey-Nagel,MACHEREY-NAGEL,MACHEREY-NAGEL/NucleoFast.rck,1,Yes,rck
NucleoFast_96.rck,plate,standard,Macherey-Nagel,96,8,12,landscape,443.1,12.2,flat,round,6.8,6.8,9.0,9.0,127.0,86.0,14.5,12.2,No,No,macherey-nagel\\nucleofast_96.ctr,NucleoFast_96.rck,,1003;1020,96 positions plates;Macherey-Nagel,MACHEREY-NAGEL,MACHEREY-NAGEL/NucleoFast_96.rck,1,Yes,rck
NucleoFast_96_L.rck,plate,standard,Macherey-Nagel,96,8,12,landscape,443.1,12.2,flat,round,6.8,6.8,9.0,9.0,127.0,86.0,14.5,12.2,No,No,macherey-nagel\\nucleofast_96.ctr,NucleoFast_96_L.rck,,,,MACHEREY-NAGEL,MACHEREY-NAGEL/NucleoFast_96_L.rck,1,Yes,rck
Mrx_96_DW.rck,plate,deep_well,Matrix,96,8,12,landscape,2820.7,42.5,round,square,8.3,8.3,9.0,9.0,127.0,86.0,44.0,0.0,No,Yes,matrix\\Mrx_96_DW.ctr,Mrx_96_DW.rck,,1003;1006,96 positions plates;Deep well plates,MATRIX,MATRIX/Mrx_96_DW.rck,1,Yes,rck
Mrx_96_DW_L.rck,plate,deep_well,Matrix,96,8,12,landscape,2820.7,42.5,round,square,8.3,8.3,9.0,9.0,127.0,86.0,44.0,0.0,No,Yes,matrix\\Mrx_96_DW.ctr,Mrx_96_DW_L.rck,,,,MATRIX,MATRIX/Mrx_96_DW_L.rck,1,Yes,rck
Mrx_96_DW_P.rck,plate,deep_well,Matrix,96,12,8,portrait,2820.7,42.5,round,square,8.3,8.3,9.0,9.0,86.0,127.0,44.0,0.0,No,Yes,matrix\\Mrx_96_DW.ctr,Mrx_96_DW_P.rck,,,,MATRIX,MATRIX/Mrx_96_DW_P.rck,0,Yes,rck
Nun_12_Fl.rck,plate,deep_well,Nunc,12,4,3,n/a,5754.3,15.85,flat,round,21.5,21.5,27.5,27.5,87.25,114.75,30.0,0.0,No,No,nunc\\Nun_12_Fl.ctr,Nun_12_Fl.rck,,,,NUNC,NUNC/Nun_12_Fl.rck,2,Yes,rck
Nun_12_Fl_P.rck,plate,deep_well,Nunc,12,4,3,portrait,5754.3,15.85,flat,round,21.5,21.5,27.5,27.5,87.25,114.75,30.0,0.0,No,No,nunc\\Nun_12_Fl.ctr,Nun_12_Fl_P.rck,,1012;1022,Nunc;12 positions plates,NUNC,NUNC/Nun_12_Fl_P.rck,2,Yes,rck
Nun_384_Sq.rck,plate,standard,Nunc,384,16,24,landscape,163.8,11.65,flat,square,3.75,3.75,4.5,4.5,127.0,86.0,14.5,13.1,No,Yes,nunc\\Nun_384_Sq.ctr,Nun_384_Sq.rck,,1004;1012,384 positions plates;Nunc,NUNC,NUNC/Nun_384_Sq.rck,1,Yes,rck
Nun_384_Sq_L.rck,plate,standard,Nunc,384,16,24,landscape,163.8,11.65,flat,square,3.75,3.75,4.5,4.5,127.0,86.0,14.5,13.1,No,Yes,nunc\\Nun_384_Sq.ctr,Nun_384_Sq_L.rck,,,,NUNC,NUNC/Nun_384_Sq_L.rck,1,Yes,rck
Nun_384_Sq_P.rck,plate,standard,Nunc,384,24,16,portrait,163.8,11.65,flat,square,3.75,3.75,4.5,4.5,86.0,127.0,14.5,13.1,No,Yes,nunc\\Nun_384_Sq.ctr,Nun_384_Sq_P.rck,,,,NUNC,NUNC/Nun_384_Sq_P.rck,0,Yes,rck
Nun_48_Fl.rck,plate,deep_well,Nunc,48,8,6,n/a,1892.7,15.8,flat,round,12.35,12.35,13.75,13.75,87.275,114.775,30.0,0.0,No,No,nunc\\Nun_48_Fl.ctr,Nun_48_Fl.rck,,1002;1012,48 positions plates;Nunc,NUNC,NUNC/Nun_48_Fl.rck,2,Yes,rck
Nun_48_Fl_P.rck,plate,deep_well,Nunc,48,8,6,portrait,1892.7,15.8,flat,round,12.35,12.35,13.75,13.75,87.275,114.775,30.0,0.0,No,No,nunc\\Nun_48_Fl.ctr,Nun_48_Fl_P.rck,,,,NUNC,NUNC/Nun_48_Fl_P.rck,2,Yes,rck
Nun_96_Fl.rck,plate,standard,Nunc,96,8,12,landscape,404.6,11.3,flat,oval,7.0,6.5,9.0,9.0,127.0,86.0,14.5,12.8,No,Yes,nunc\\Nun_96_Fl.ctr,Nunc 96 FL.rck,Nunc plate with 96 flat bottom wells,,,NUNC,NUNC/Nun_96_Fl.rck,1,Yes,rck
Nun_96_Fl_HB.rck,plate,standard,Nunc,96,8,12,landscape,404.6,11.3,flat,oval,7.0,6.5,9.0,9.0,127.0,86.0,14.5,12.8,No,Yes,nunc\\Nun_96_Fl.ctr,Nunc 96 FL Hb (high border),Nunc plate with high border with 96 flat bottom wells,1003;1012,96 positions plates;Nunc,NUNC,NUNC/Nun_96_Fl_HB.rck,1,Yes,rck
